Date,Closing Value
12/9/2008,1547.339966
12/8/2008,1571.73999
12/5/2008,1509.310059
12/4/2008,1445.560059
12/3/2008,1492.380005
12/2/2008,1449.800049
12/1/2008,1398.069946
11/28/2008,1535.569946
11/26/2008,1532.099976
11/25/2008,1464.72998
11/24/2008,1472.02002
11/21/2008,1384.349976
11/20/2008,1316.119995
11/19/2008,1386.420044
11/18/2008,1483.27002
11/17/2008,1482.050049
11/14/2008,1516.849976
11/13/2008,1596.699951
11/12/2008,1499.209961
11/11/2008,1580.900024
11/10/2008,1616.73999
11/7/2008,1647.400024
11/6/2008,1608.699951
11/5/2008,1681.640015
11/4/2008,1780.119995
11/3/2008,1726.329956
10/31/2008,1720.949951
10/30/2008,1698.52002
10/29/2008,1657.209961
10/28/2008,1649.469971
10/27/2008,1505.900024
10/24/2008,1552.030029
10/23/2008,1603.910034
10/22/2008,1615.75
10/21/2008,1696.680054
10/20/2008,1770.030029
10/17/2008,1711.290039
10/16/2008,1717.709961
10/15/2008,1628.329956
10/14/2008,1779.01001
10/13/2008,1844.25
10/10/2008,1649.51001
10/9/2008,1645.119995
10/8/2008,1740.329956
10/7/2008,1754.880005
10/6/2008,1862.959961
10/3/2008,1947.390015
10/2/2008,1976.719971
10/1/2008,2069.399902
9/30/2008,2091.879883
9/29/2008,1983.72998
9/26/2008,2183.340088
9/25/2008,2186.570068
9/24/2008,2155.679932
9/23/2008,2153.330078
9/22/2008,2178.97998
9/19/2008,2273.899902
9/18/2008,2199.100098
9/17/2008,2098.850098
9/16/2008,2207.899902
9/15/2008,2179.909912
9/12/2008,2261.27002
9/11/2008,2258.219971
9/10/2008,2228.699951
9/9/2008,2209.810059
9/8/2008,2269.76001
9/5/2008,2255.879883
9/4/2008,2259.040039
9/3/2008,2333.72998
9/2/2008,2349.23999
8/29/2008,2367.52002
8/28/2008,2411.639893
8/27/2008,2382.459961
8/26/2008,2361.969971
8/25/2008,2365.590088
8/22/2008,2414.709961
8/21/2008,2380.379883
8/20/2008,2389.080078
8/19/2008,2384.360107
8/18/2008,2416.97998
8/15/2008,2452.52002
8/14/2008,2453.669922
8/13/2008,2428.620117
8/12/2008,2430.610107
8/11/2008,2439.949951
8/8/2008,2414.100098
8/7/2008,2355.72998
8/6/2008,2378.370117
8/5/2008,2349.830078
8/4/2008,2285.560059
8/1/2008,2310.959961
7/31/2008,2325.550049
7/30/2008,2329.719971
7/29/2008,2319.620117
7/28/2008,2264.219971
7/25/2008,2310.530029
7/24/2008,2280.110107
7/23/2008,2325.879883
7/22/2008,2303.959961
7/21/2008,2279.530029
7/18/2008,2282.780029
7/17/2008,2312.300049
7/16/2008,2284.850098
7/15/2008,2215.709961
7/14/2008,2212.870117
7/11/2008,2239.080078
7/10/2008,2257.850098
7/9/2008,2234.889893
7/8/2008,2294.439941
7/7/2008,2243.320068
7/3/2008,2245.379883
7/2/2008,2251.459961
7/1/2008,2304.969971
6/30/2008,2292.97998
6/27/2008,2315.629883
6/26/2008,2321.370117
6/25/2008,2401.26001
6/24/2008,2368.280029
6/23/2008,2385.73999
6/20/2008,2406.090088
6/19/2008,2462.060059
6/18/2008,2429.709961
6/17/2008,2457.72998
6/16/2008,2474.780029
6/13/2008,2454.5
6/12/2008,2404.350098
6/11/2008,2394.01001
6/10/2008,2448.939941
6/9/2008,2459.459961
6/6/2008,2474.560059
6/5/2008,2549.939941
6/4/2008,2503.139893
6/3/2008,2480.47998
6/2/2008,2491.530029
5/30/2008,2522.659912
